Member Item Satisfaction_score
1 4 78
1 18 93
1 11 84
1 20 73
1 19 47
1 3 59
1 13 45
1 8 49
1 14 26
1 10 31
2 16 81
2 7 97
2 8 91
2 6 78
2 1 55
2 2 52
2 5 31
2 4 47
2 3 23
2 14 29
3 13 74
3 12 80
3 3 80
3 17 68
3 20 44
3 6 48
3 7 30
3 16 33
3 18 37
3 9 33
4 8 84
4 11 85
4 16 85
4 14 43
4 19 54
4 9 55
4 7 48
4 10 48
4 18 20
4 4 23
5 15 86
5 5 75
5 10 74
5 14 79
5 19 46
5 8 41
5 18 37
5 13 46
5 16 33
5 2 39
6 2 70
6 19 72
6 16 92
6 10 54
6 17 57
6 15 54
6 13 48
6 20 40
6 6 21
6 1 21
7 20 78
7 2 83
7 8 72
7 19 73
7 16 73
7 15 59
7 6 48
7 9 42
7 7 24
7 3 25
8 3 80
8 11 94
8 20 97
8 10 63
8 2 60
8 5 56
8 4 46
8 12 32
8 9 39
8 16 37
9 11 80
9 15 83
9 8 72
9 1 58
9 10 45
9 6 70
9 12 45
9 7 32
9 2 20
9 18 32
10 13 95
10 8 81
10 4 74
10 2 47
10 9 56
10 1 58
10 16 48
10 11 40
10 12 35
10 18 39
11 10 76
11 16 77
11 14 70
11 17 45
11 8 56
11 4 40
11 2 32
11 13 41
11 7 24
11 1 28
12 12 73
12 16 74
12 1 84
12 19 50
12 6 47
12 13 79
12 4 49
12 5 35
12 15 30
12 18 34
13 8 93
13 1 94
13 2 72
13 11 73
13 9 54
13 18 61
13 10 38
13 12 30
13 14 20
13 13 25
14 13 92
14 17 73
14 7 95
14 16 69
14 5 73
14 3 48
14 20 41
14 12 34
14 14 31
14 18 20
15 19 76
15 20 89
15 1 82
15 2 53
15 7 67
15 8 68
15 16 31
15 10 40
15 18 34
15 14 30
16 6 94
16 13 93
16 12 70
16 15 62
16 20 55
16 11 54
16 10 48
16 18 40
16 5 33
16 1 28
17 11 86
17 20 88
17 12 93
17 17 63
17 8 42
17 1 56
17 4 44
17 5 48
17 13 37
17 10 31
18 11 93
18 7 85
18 19 99
18 5 55
18 9 48
18 13 43
18 20 34
18 3 32
18 15 36
18 2 29
19 4 96
19 18 74
19 16 97
19 10 76
19 15 73
19 17 70
19 14 39
19 20 45
19 1 24
19 11 20
20 8 77
20 17 74
20 14 70
20 16 66
20 19 55
20 18 73
20 4 38
20 11 39
20 6 36
20 13 33

​
